issue_id,issue_title,business_area,affected_process,issue_source,date_identified,issue_description,affected_control,risk_category,risk_theme,severity,customer_impact,regulatory_impact,financial_impact_gbp,root_cause_category,root_cause_detail,repeat_issue,control_design_rating,operating_effectiveness_rating,issue_owner,action_owner,remediation_action,original_target_date,current_target_date,extension_count,status,last_update_date,management_commentary,closure_evidence_summary,evidence_status,evidence_rejection_count,validation_method,closure_review_date,reviewer_decision,reviewer_rationale,date_closed,residual_risk
ISS-011,Forbearance options not applied consistently to vulnerable customers,Customer Operations,Customer Forbearance,Customer Complaint,2025-12-06,Quality review and complaint evidence showed that customer vulnerability and affordability circumstances were not consistently considered when selecting forbearance options. The issue recurred after an earlier closure decision.,"Forbearance decisions evidence customer circumstances, vulnerability and fair outcomes",Conduct Risk,Vulnerable Customers,Critical,Actual,Actual,8200,Inadequate Process Design,The documented process did not contain sufficiently precise preventive and detective steps for the risk identified.,true,Partially Effective,Ineffective,Head of Customer Operations,Customer Controls Manager,"Redesign and document the end-to-end control steps for customer forbearance, including ownership and escalation criteria.",2026-05-31,2026-10-31,2,Reopened,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,Previous closure pack retained; recurrence evidence recorded for reassessment.,Not Submitted,0,Recurrence analysis and control retesting,2026-09-18,Reopen,Subsequent testing identified recurrence and showed that the previous remediation did not address the underlying cause.,,
ISS-012,Leaver access removal not completed within policy,Technology,Joiner Mover Leaver,Internal Audit,2026-09-04,"Review of joiner mover leaver identified that the control 'Leaver access automatically disabled and exceptions reviewed daily' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Leaver access automatically disabled and exceptions reviewed daily,Technology & Cyber Risk,Identity and Access Management,High,Potential,None,,Access Governance,"Access roles, approvals or periodic recertification requirements were not defined and evidenced consistently.",true,Not Yet Tested,Not Yet Tested,Chief Technology Officer,Technology Risk Manager,,,,0,Under Assessment,2026-09-25,The issue is being assessed and accountable actions will be agreed following completion of evidence review.,,Not Submitted,0,,,Pending Review,,,
ISS-013,Complaint refund approvals rely on manual evidence,Customer Operations,Complaint Redress,Operational Incident,2026-05-19,"Review of complaint redress identified that the control 'Customer refunds independently approved against redress calculations' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Customer refunds independently approved against redress calculations,Conduct Risk,Customer Redress,Medium,Actual,None,3600,Manual Process Dependency,"The process relied on manually maintained data and reviewer intervention, increasing the risk of delay, omission and inconsistent execution.",false,Partially Effective,Ineffective,Head of Customer Operations,Customer Controls Manager,Introduce controlled automation and an independent exception review for complaint redress.,2026-10-31,2026-10-31,0,Remediation in Progress,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,,Not Submitted,0,,,Pending Review,,,
ISS-014,Call-quality review evidence is incomplete,Customer Operations,Call Quality Assurance,Compliance Monitoring,2026-02-22,"Review of call quality assurance identified that the control 'Risk-based calls sampled and assessed against conduct standards' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Risk-based calls sampled and assessed against conduct standards,Conduct Risk,Customer Communications,High,Potential,None,,Inadequate Monitoring,Management information and exception monitoring were not sufficiently timely or granular to identify deterioration.,false,Effective,Partially Effective,Head of Customer Operations,Customer Controls Manager,"Introduce risk-based management information, thresholds and documented exception follow-up for call quality assurance.",2026-08-31,2026-10-15,1,Further Evidence Required,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,Procedure and selected implementation evidence submitted; reviewer identified gaps in the testing period or population.,Further Evidence Required,2,Document inspection and targeted sample testing,2026-09-22,Request Further Evidence,The evidence supports the revised design but does not yet demonstrate complete and sustained operating effectiveness.,,
ISS-015,Address-change verification inconsistently recorded,Customer Operations,Customer Detail Amendments,Controls Testing,2026-04-04,"Review of customer detail amendments identified that the control 'Material customer-detail changes independently verified' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Material customer-detail changes independently verified,Operational Risk,Customer Authentication,Medium,Potential,None,,Manual Process Dependency,"The process relied on manually maintained data and reviewer intervention, increasing the risk of delay, omission and inconsistent execution.",false,Effective,Partially Effective,Head of Customer Operations,Customer Controls Manager,Introduce controlled automation and an independent exception review for customer detail amendments.,2026-09-30,2026-10-20,1,Awaiting Closure Review,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,Updated procedure and initial implementation evidence submitted for independent review.,Submitted,0,Document inspection and sample testing,,Pending Review,,,
ISS-016,Bereavement cases routed inconsistently,Customer Operations,Bereavement Support,Management Review,2025-12-15,"Review of bereavement support identified that the control 'Bereavement cases triaged and handled under documented specialist guidance' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Bereavement cases triaged and handled under documented specialist guidance,Conduct Risk,Customer Support,Medium,Potential,None,,Training and Capability,Guidance and role-based training did not equip staff to apply the control consistently in higher-risk cases.,false,Effective,Effective,Head of Customer Operations,Customer Controls Manager,Deliver role-based guidance and quality assurance checks for staff performing bereavement support.,2026-05-31,2026-05-31,0,Closed,2026-05-26,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,"Updated procedure, implementation evidence and post-implementation sample testing.",Validated,0,Document inspection and post-implementation sample testing,2026-05-26,Approve Closure,Remediation evidence was complete and sample testing demonstrated that the redesigned control operated effectively.,2026-05-26,Low
ISS-017,Vulnerability flags missing from migrated records,Customer Operations,Customer Data Migration,Operational Incident,2026-03-08,"Review of customer data migration identified that the control 'Migration completeness reconciled and vulnerability flags validated' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Migration completeness reconciled and vulnerability flags validated,Conduct Risk,Vulnerable Customers,Medium,Potential,None,,Data Quality,Incomplete or inaccurate source data reduced the reliability of downstream monitoring and management information.,true,Effective,Partially Effective,Head of Customer Operations,Customer Controls Manager,"Introduce source-data validation, exception reporting and accountable review for customer data migration.",2026-08-15,2026-10-25,1,Further Evidence Required,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,Procedure and selected implementation evidence submitted; reviewer identified gaps in the testing period or population.,Further Evidence Required,0,Document inspection and targeted sample testing,2026-09-22,Request Further Evidence,The evidence supports the revised design but does not yet demonstrate complete and sustained operating effectiveness.,,
ISS-018,Privileged access recertification overdue,Technology,Privileged Access Management,Controls Testing,2026-01-18,"Quarterly recertification was not completed for all privileged accounts, leaving elevated access without current system-owner confirmation and creating an overdue high-risk remediation action.",Quarterly privileged access recertification approved by system owners,Technology & Cyber Risk,Privileged Access,High,None,Potential,,Access Governance,"Access roles, approvals or periodic recertification requirements were not defined and evidenced consistently.",true,Partially Effective,Ineffective,Chief Technology Officer,Technology Risk Manager,Define least-privilege roles and complete evidenced access approval and recertification for privileged access management.,2026-06-30,2026-08-15,2,Remediation in Progress,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,,Not Submitted,0,,,Pending Review,,,
ISS-019,Vulnerability remediation evidence incomplete,Technology,Vulnerability Management,Internal Audit,2026-03-25,"Review of vulnerability management identified that the control 'Critical vulnerabilities remediated within tolerance and independently evidenced' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Critical vulnerabilities remediated within tolerance and independently evidenced,Technology & Cyber Risk,Cyber Resilience,High,None,Potential,,Inadequate Monitoring,Management information and exception monitoring were not sufficiently timely or granular to identify deterioration.,false,Effective,Partially Effective,Chief Technology Officer,Technology Risk Manager,"Introduce risk-based management information, thresholds and documented exception follow-up for vulnerability management.",2026-09-30,2026-10-15,1,Awaiting Closure Review,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,Updated procedure and initial implementation evidence submitted for independent review.,Submitted,0,Document inspection and sample testing,,Pending Review,,,
ISS-020,Backup restoration testing coverage insufficient,Technology,Backup and Recovery,RCSA,2026-07-14,"Review of backup and recovery identified that the control 'Risk-based restoration tests completed and exceptions tracked' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Risk-based restoration tests completed and exceptions tracked,Technology & Cyber Risk,Operational Resilience,Medium,None,None,,System Limitation,"The current system configuration did not provide complete automated validation, exception handling or monitoring capability.",false,Ineffective,Ineffective,Chief Technology Officer,Technology Risk Manager,"Implement a system enhancement with automated validation, alerting and retained audit evidence for backup and recovery.",2026-12-15,2026-12-15,0,Action Plan Agreed,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,,Not Submitted,0,,,Pending Review,,,
ISS-021,Batch-job failure alerts do not cover all critical interfaces,Technology,Automated Batch Monitoring,Operational Incident,2026-05-29,"Review of automated batch monitoring identified that the control 'Critical batch failures generate alerts with accountable response and escalation' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Critical batch failures generate alerts with accountable response and escalation,Technology & Cyber Risk,System Monitoring,Medium,None,None,,System Limitation,"The current system configuration did not provide complete automated validation, exception handling or monitoring capability.",false,Partially Effective,Ineffective,Chief Technology Officer,Technology Risk Manager,"Implement a system enhancement with automated validation, alerting and retained audit evidence for automated batch monitoring.",2026-11-30,2026-11-30,0,Remediation in Progress,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,,Not Submitted,0,,,Pending Review,,,
ISS-022,Service-account ownership records not reviewed,Technology,Service Account Governance,Management Review,2025-11-21,"Review of service account governance identified that the control 'Service accounts have named owners and periodic recertification' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Service accounts have named owners and periodic recertification,Technology & Cyber Risk,Identity and Access Management,Low,None,None,,Access Governance,"Access roles, approvals or periodic recertification requirements were not defined and evidenced consistently.",false,Effective,Effective,Chief Technology Officer,Technology Risk Manager,Define least-privilege roles and complete evidenced access approval and recertification for service account governance.,2026-04-30,2026-04-30,0,Closed,2026-04-25,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,"Updated procedure, implementation evidence and post-implementation sample testing.",Validated,0,Document inspection and post-implementation sample testing,2026-04-25,Approve Closure,Remediation evidence was complete and sample testing demonstrated that the redesigned control operated effectively.,2026-04-25,Low
ISS-023,Identity-verification exceptions not consistently recorded,Customer Operations,Customer Identity Verification,Compliance Monitoring,2026-01-11,"Review of customer identity verification identified that the control 'Identity-verification exceptions documented and independently approved' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Identity-verification exceptions documented and independently approved,Financial Crime,Customer Due Diligence,Low,None,Potential,,Roles and Responsibilities,"Accountability between teams was unclear, resulting in gaps in ownership, review and timely escalation.",false,Effective,Effective,Head of Customer Operations,Customer Controls Manager,Assign accountable owners and introduce a documented review and escalation workflow for customer identity verification.,2026-06-30,2026-06-30,0,Closed,2026-06-25,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,"Updated procedure, implementation evidence and post-implementation sample testing.",Validated,0,Document inspection and post-implementation sample testing,2026-06-25,Approve Closure,Remediation evidence was complete and sample testing demonstrated that the redesigned control operated effectively.,2026-06-25,Low
ISS-024,Duplicate customer payments detected late,Lending Operations,Payment Reconciliation,Operational Incident,2026-05-12,"A manual reconciliation did not identify duplicate customer payments promptly. Customers were refunded, but the submitted closure pack contains only one month of the new exception report and does not yet demonstrate sustained operating effectiveness.",Daily duplicate-payment exception report independently reviewed,Operational Risk,Payment Processing,High,Actual,None,24500,Manual Process Dependency,"The process relied on manually maintained data and reviewer intervention, increasing the risk of delay, omission and inconsistent execution.",true,Effective,Partially Effective,Head of Lending Operations,Lending Controls Manager,Introduce controlled automation and an independent exception review for payment reconciliation.,2026-08-31,2026-09-15,1,Awaiting Closure Review,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,Updated procedure and initial implementation evidence submitted for independent review.,Submitted,0,Document inspection and sample testing,,Pending Review,,,
ISS-025,Standing-order amendments lack independent verification,Savings & Deposits,Standing Order Amendments,Controls Testing,2026-05-05,"Review of standing order amendments identified that the control 'Standing-order amendments independently verified before release' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Standing-order amendments independently verified before release,Operational Risk,Payment Instructions,Medium,Potential,None,,Manual Process Dependency,"The process relied on manually maintained data and reviewer intervention, increasing the risk of delay, omission and inconsistent execution.",false,Partially Effective,Ineffective,Head of Savings Operations,Savings Controls Manager,Introduce controlled automation and an independent exception review for standing order amendments.,2026-10-31,2026-10-31,0,Remediation in Progress,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,,Not Submitted,0,,,Pending Review,,,
ISS-026,Dormant-account review exceptions,Savings & Deposits,Dormant Account Monitoring,Compliance Monitoring,2025-12-02,"Review of dormant account monitoring identified that the control 'Dormant-account activity reviewed against defined risk thresholds' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Dormant-account activity reviewed against defined risk thresholds,Financial Crime,Dormant Accounts,Medium,None,Potential,,Inadequate Monitoring,Management information and exception monitoring were not sufficiently timely or granular to identify deterioration.,false,Effective,Effective,Head of Savings Operations,Savings Controls Manager,"Introduce risk-based management information, thresholds and documented exception follow-up for dormant account monitoring.",2026-05-15,2026-05-31,1,Closed,2026-05-26,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,"Updated procedure, implementation evidence and post-implementation sample testing.",Validated,0,Document inspection and post-implementation sample testing,2026-05-26,Approve Closure,Remediation evidence was complete and sample testing demonstrated that the redesigned control operated effectively.,2026-05-26,Low
ISS-027,Account-closure instructions not logged centrally,Savings & Deposits,Savings Account Closure,Customer Complaint,2026-09-27,"Review of savings account closure identified that the control 'Closure instructions logged, authenticated and tracked to completion' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.","Closure instructions logged, authenticated and tracked to completion",Operational Risk,Account Servicing,Low,Potential,None,,Manual Process Dependency,"The process relied on manually maintained data and reviewer intervention, increasing the risk of delay, omission and inconsistent execution.",false,Not Yet Tested,Not Yet Tested,Head of Savings Operations,Savings Controls Manager,,,,0,Identified,2026-09-25,,,Not Submitted,0,,,Pending Review,,,
ISS-028,Maturity-instruction validation gaps,Savings & Deposits,Fixed-Term Maturity,RCSA,2026-09-08,"Review of fixed-term maturity identified that the control 'Maturity instructions authenticated and independently validated' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Maturity instructions authenticated and independently validated,Operational Risk,Maturity Processing,Medium,Potential,None,,Inadequate Process Design,The documented process did not contain sufficiently precise preventive and detective steps for the risk identified.,false,Not Yet Tested,Not Yet Tested,Head of Savings Operations,Savings Controls Manager,,,,0,Under Assessment,2026-09-25,The issue is being assessed and accountable actions will be agreed following completion of evidence review.,,Not Submitted,0,,,Pending Review,,,
ISS-029,FSCS disclosure review not embedded in change workflow,Savings & Deposits,Customer Disclosure Management,Compliance Monitoring,2026-07-21,"Review of customer disclosure management identified that the control 'Disclosure changes receive Compliance approval before release' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Disclosure changes receive Compliance approval before release,Regulatory Compliance,Customer Disclosures,Medium,None,Potential,,Inadequate Process Design,The documented process did not contain sufficiently precise preventive and detective steps for the risk identified.,false,Ineffective,Ineffective,Head of Savings Operations,Savings Controls Manager,"Redesign and document the end-to-end control steps for customer disclosure management, including ownership and escalation criteria.",2026-11-30,2026-11-30,0,Action Plan Agreed,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,,Not Submitted,0,,,Pending Review,,,
ISS-030,Savings interest-rate change verification incomplete,Savings & Deposits,Interest Rate Changes,Controls Testing,2026-04-18,"Review of interest rate changes identified that the control 'Rate changes independently verified across systems and customer communications' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Rate changes independently verified across systems and customer communications,Conduct Risk,Pricing and Interest,High,Potential,Potential,,Change Management,"The change process did not consistently assess, approve, test and evidence control impacts before implementation.",false,Effective,Partially Effective,Head of Savings Operations,Savings Controls Manager,"Introduce control-impact assessment, approval and post-implementation validation for interest rate changes changes.",2026-09-30,2026-10-15,1,Awaiting Closure Review,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,Updated procedure and initial implementation evidence submitted for independent review.,Submitted,0,Document inspection and sample testing,,Pending Review,,,
ISS-031,AML screening-list update deployed late,Financial Crime & Compliance,Sanctions and AML Screening,Operational Incident,2026-01-29,An approved AML screening-list update was deployed after the required implementation window because change ownership and post-deployment reconciliation were not completed on time.,"Screening lists updated, reconciled and independently confirmed within tolerance",Financial Crime,Screening Controls,Critical,None,Potential,,Change Management,"The change process did not consistently assess, approve, test and evidence control impacts before implementation.",true,Partially Effective,Ineffective,Money Laundering Reporting Officer,Financial Crime Controls Manager,"Introduce control-impact assessment, approval and post-implementation validation for sanctions and aml screening changes.",2026-06-30,2026-08-15,2,Remediation in Progress,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,,Not Submitted,0,,,Pending Review,,,
ISS-032,SAR case-ageing report omitted reassigned cases,Financial Crime & Compliance,Suspicious Activity Reporting,Management Review,2025-11-29,"Review of suspicious activity reporting identified that the control 'Complete SAR population reconciled to case-ageing management information' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Complete SAR population reconciled to case-ageing management information,Financial Crime,Case Management,Medium,None,Potential,,Data Quality,Incomplete or inaccurate source data reduced the reliability of downstream monitoring and management information.,false,Effective,Effective,Money Laundering Reporting Officer,Financial Crime Controls Manager,"Introduce source-data validation, exception reporting and accountable review for suspicious activity reporting.",2026-04-30,2026-05-15,1,Closed,2026-05-10,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,"Updated procedure, implementation evidence and post-implementation sample testing.",Validated,0,Document inspection and post-implementation sample testing,2026-05-10,Approve Closure,Remediation evidence was complete and sample testing demonstrated that the redesigned control operated effectively.,2026-05-10,Low
ISS-033,PEP review documentation inconsistent,Financial Crime & Compliance,Politically Exposed Person Reviews,Compliance Monitoring,2026-07-10,"Review of politically exposed person reviews identified that the control 'PEP reviews evidence risk assessment, approval and review rationale' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.","PEP reviews evidence risk assessment, approval and review rationale",Financial Crime,Enhanced Due Diligence,Medium,None,Potential,,Training and Capability,Guidance and role-based training did not equip staff to apply the control consistently in higher-risk cases.,false,Ineffective,Ineffective,Money Laundering Reporting Officer,Financial Crime Controls Manager,Deliver role-based guidance and quality assurance checks for staff performing politically exposed person reviews.,2026-12-15,2026-12-15,0,Action Plan Agreed,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,,Not Submitted,0,,,Pending Review,,,
